,Strategy Return,CMC Buy&Hold
2019-10-02,-0.00535959127612462,-0.01240562943983825
2019-10-04,0.07590677033233018,-0.004557203155668321
2019-10-07,0.11162893368041393,0.01007888297262749
2019-10-08,0.1851246493028944,0.004032492818159428
2019-10-09,0.13648033158704354,0.05295683812967811
2019-10-10,0.20131530377442997,0.04853596481322442
2019-10-11,0.2725978794409256,0.018173025736684334
2019-10-14,0.36870174271153244,0.028961197133287042
2019-10-15,0.35002652083754704,0.004296566960826587
2019-10-16,0.4727107630465799,-0.017320149566454113
2019-10-17,0.43313421749955805,-0.0038342699969432514
2019-10-18,0.37302979897148725,-0.01919711566328619
2019-10-21,0.37283156736220624,0.009264601173856857
2019-10-22,0.35948263488036103,0.0011373714165390236
2019-10-23,0.2430281944038455,-0.07739071324581637
2019-10-24,0.3349034570567213,-0.07354271510758259
2019-10-25,0.36263837050732795,0.04339562934739405
2019-10-28,0.3598301302408724,0.12628657686361278
2019-10-29,0.3510470076012513,0.1283395968642731
2019-10-30,0.34304391047603566,0.10064239646815087
2019-10-31,0.3823565912596971,0.09711503445235725
2019-11-01,0.38547615370723465,0.10355252679160443
2019-11-04,0.4159801564045855,0.1257486201093807
2019-11-04,0.42485174354000277,0.1483911503176636
2019-11-05,0.4186881987678306,0.14994656500531334
2019-11-05,0.39571218916398276,0.15150408639227875
2019-11-06,0.39805992030782456,0.1526423628058573
2019-11-06,0.3858224730648121,0.15378176442012692
2019-11-07,0.35691212240243386,0.1392299286160883
2019-11-07,0.3651016972996115,0.12486162485580121
2019-11-08,0.29735699410384653,0.08125546623188096
2019-11-08,0.29869665025037806,0.0393397351484841
2019-11-11,0.2724019054456295,0.03277547016226823
2019-11-11,0.25005601263852895,0.02625266378034885
2019-11-12,0.29319708777916564,0.027665184573191448
2019-11-12,0.29434165580864846,0.029079649541245978
2019-11-13,0.340050959074371,0.03183891834520658
2019-11-13,0.3186925113137682,0.03460558557001425
2019-11-14,0.3080297910578518,0.023527637960067294
2019-11-14,0.3076823475029211,0.012568306492310333
2019-11-15,0.2507184306992598,-0.01532417901777916
2019-11-15,0.2536325603043279,-0.0424483304382649
2019-11-18,0.18795371388204618,-0.06120233926412233
2019-11-18,0.18296986703352003,-0.07958904378858234
2019-11-19,0.1596441759671221,-0.09367855665054203
2019-11-19,0.1465311190256262,-0.10755238936294709
2019-11-20,0.11491435214812395,-0.12476625818432696
2019-11-20,0.10984778601527201,-0.14164809935918954
2019-11-21,0.0398827274422775,-0.19137256410678383
2019-11-21,0.020474640838652247,-0.23821648255094607
2019-11-22,-0.05009862464290782,-0.26750847417034784
2019-11-22,-0.059322671215103595,-0.2956741342882434
2019-11-25,-0.05897241384381979,-0.30882398836749936
2019-11-25,-0.09171871859841807,-0.321728332987677
2019-11-26,-0.06855691045480317,-0.32408643667291537
2019-11-26,-0.05921436344318187,-0.32643634209002503
2019-11-27,-0.0346536408627971,-0.29840747782693866
2019-11-27,-0.03977336954338151,-0.26921225427078077
2019-11-29,-0.002474387423981872,-0.2542571621474472
2019-11-29,-0.01015318305850721,-0.23899602386813412
2019-12-02,-0.016421621805281172,-0.2777965747993075
2019-12-02,-0.018344477930664405,-0.31461884072832524
2019-12-03,0.0024193096010258763,-0.3133891321236003
2019-12-03,0.010406158918952801,-0.31215721717977196
2019-12-04,-0.0068338160893951505,-0.32454350080972116
2019-12-04,-0.06690048042064023,-0.3367067392526111
2019-12-05,-0.04836169720466388,-0.3225300984640659
2019-12-05,-0.0054236640421853055,-0.30805045875190573
2019-12-06,0.02407925952858636,-0.29990153357692173
2019-12-06,0.16697216050805053,-0.29165664044828077
2019-12-09,0.1489950677803873,-0.2978674287467935
2019-12-09,0.020422600687663772,-0.3040237605578292
2019-12-10,-0.004556283892238722,-0.3171782080020774
2019-12-10,-0.014267173392466304,-0.33008402700507
2019-12-11,0.015160419957049198,-0.33471015138626103
2019-12-11,0.09606339685312704,-0.3393043299299844
2019-12-12,0.15959932306197544,-0.3390970574708122
2019-12-12,0.05673820786944894,-0.3388897199864336
2019-12-13,0.056051633060476114,-0.33472438117643455
2019-12-13,-0.05681982381210671,-0.3305327985642643
2019-12-16,-0.05829451483684911,-0.36759062790176955
2019-12-16,-0.16454190458216122,-0.4025971503010669
2019-12-17,-0.19875390882317645,-0.4377267516756599
2019-12-17,-0.42601527954531737,-0.4707905964283021
2019-12-18,-0.41598993504144366,-0.4299495819229038
2019-12-18,-0.2906270346435279,-0.38595671778185525
2019-12-19,-0.30933404470452397,-0.3858531077926489
2019-12-19,-0.13522569595565836,-0.38574948032091294
2019-12-20,-0.11134529049392883,-0.38225334273055633
2019-12-20,-0.10092079725221892,-0.37873730612886947
2019-12-23,-0.08550273208723635,-0.3726489398767122
2019-12-23,-0.17665858892198028,-0.3665009077151321
2019-12-27,-0.17307842516149463,-0.3640196334137501
2019-12-27,-0.07297572965093979,-0.361528640515714
2019-12-30,-0.06619706293797722,-0.35475766056953917
2019-12-30,-0.04301298962368871,-0.34791487447458336
2020-01-02,-0.05589449751848463,-0.36416712920456085
2020-01-03,-0.03702536365736786,-0.3360187410519049
2020-01-06,-0.03969873386194167,-0.3016056855944821
2020-01-07,-0.08138530026923263,-0.2725079978891509
2020-01-08,-0.06833210444078242,-0.2794825383772819
2020-01-09,-0.08449371330587163,-0.29132395974318637
2020-01-10,-0.09902675052050625,-0.26964744667898544
2020-01-13,-0.11050375564073467,-0.25675102988301635
2020-01-14,-0.09828246751052294,-0.1854673065486545
2020-01-15,-0.0638928395735332,-0.17514258707922625
2020-01-16,-0.03710523257401677,-0.1874497610337712
2020-01-17,-0.02057035295647025,-0.1642014906087732
2020-01-21,-0.023455793777403366,-0.1793813910304023
2020-01-22,-0.017158250631389538,-0.18522213930142228
2020-01-23,0.009106851151792439,-0.2147644448661732
2020-01-24,0.0043701522991175246,-0.2068337595052009
2020-01-27,0.015714054092574647,-0.16581516687036424
2020-01-28,0.014192796722350076,-0.15438178716656803
2020-01-29,0.025629076332677414,-0.12894212166356134
2020-01-30,0.05877591029099838,-0.10804848082176499
2020-01-31,0.03451103960178048,-0.12808117410267905
2020-02-03,0.030104350235336197,-0.12109444932902902
2020-02-04,0.025133387808254026,-0.12912763354980428
2020-02-05,0.07827888056958532,-0.07536823900857181
2020-02-06,0.061706593070567806,-0.06735369545532266
2020-02-07,0.0781833145423736,-0.06426022768931072
2020-02-10,0.04558020350684866,-0.046542239181022294
2020-02-11,0.06612045614631534,-0.014857081200522648
2020-02-12,0.11723570175773901,0.022558910516446096
2020-02-13,0.13788051471534413,0.009124635851837315
2020-02-14,0.16168795354651766,0.03326458314134162
2020-02-18,0.2039250351916544,-0.007790265402427443
2020-02-19,0.21669154279680614,-0.058750368344821724
2020-02-20,0.21736746886555647,-0.06705151768210205
2020-02-21,0.20171037455963559,-0.06087264522532021
2020-02-24,0.16766800122292835,-0.06905536750630203
2020-02-25,0.08463922060738627,-0.09919694213246955
2020-02-26,-0.007993756343714908,-0.17252982087944935
2020-02-27,0.03156998776763964,-0.16592521936664018
2020-02-28,0.058904808573820855,-0.17735620062424629
2020-03-18,0.04887429388566811,-0.1804123695862927
2020-03-19,0.13703450320408428,-0.034483057660598004
2020-03-20,0.11970436684802466,-0.048108657944587296
2020-03-25,0.09378697170653227,-0.06555750276231487
2020-03-26,0.0965078611158936,-0.04724091776328987
2020-03-27,0.09922197615989048,-0.046094478744379885
2020-03-30,0.07281333548761548,-0.08090464375935236
2020-03-31,0.07558544995954697,-0.07856608155062439
2020-05-04,0.08047652319537413,-0.07028712413545779
2020-05-05,0.08843809741903841,-0.06894632052469707
2020-05-06,0.08646332517957878,-0.042143373651938654
2020-05-07,0.11376813521998752,-0.002156505674721365
2020-05-11,0.09052038633399695,-0.13855800574080213
2020-05-12,0.12520760975206735,-0.12144362405973319
2020-05-13,0.1406413120304424,-0.08030912116615274
2020-05-14,0.16185393433894157,-0.04658615557227763
2020-05-15,0.15150966178964054,-0.07191074380107121
2020-05-18,0.17115245714401217,-0.03918173019998261
2020-05-19,0.17754206806626582,-0.043400813975091324
2020-05-20,0.18640326079478986,-0.05323288324683184
2020-05-21,0.15923211153249595,-0.0977303183630055
2020-05-22,0.19853352743307195,-0.08054647251219482
2020-05-26,0.20173003314372107,-0.11781765586530735
2020-05-27,0.2103814738613321,-0.09373214214880865
2020-05-28,0.22950451251422543,-0.05974809730383268
2020-05-29,0.2353538418468799,-0.06134893863834867
2020-06-02,0.21224954847733235,-0.07490884526073593
2020-06-03,0.2427459511689145,-0.06649320262350711
2020-06-04,0.22741259047425832,-0.05309149462100193
2020-06-05,0.24041382070677897,-0.05946078927494891
2020-06-08,0.25618326386872203,-0.05650252835707292
2020-06-09,0.25534523541356924,-0.04988881581579763
2020-06-10,0.2632178195673007,-0.04167593965023475
2020-06-11,0.15645527804972326,-0.09623497053042429
2020-06-12,0.2063838654698944,-0.08312719630102128
2020-06-15,0.20036942654984458,-0.08931363107701229
2020-06-16,0.2384241293178666,-0.08479654274221193
2020-06-17,0.2450122317312633,-0.08888439389318126
2020-06-18,0.2315473205382954,-0.09416125653348739
2020-06-19,0.2014330744356123,-0.10314364887111283
2020-06-22,0.23247264729265704,-0.0722651886304696
2020-06-23,0.26232497166664803,-0.0673933239966884
2020-06-24,0.21898639325561264,-0.10077619631774692
2020-06-25,0.21856229148311868,-0.10272050533715726
2020-06-26,0.19464742114895683,-0.1122883230048447
2020-06-29,0.21486268660551966,-0.11458776415052141
2020-06-30,0.20435131424681918,-0.1222328514600226
2020-07-01,0.27510427056944065,-0.11205776799479361
2020-07-02,0.2721342107053306,-0.1202073346239404
2020-07-02,0.2834682414693994,-0.12828210422930686
2020-07-06,0.34119567103454473,-0.10318631802020617
2020-07-06,0.3781970947595352,-0.07736805210923348
2020-07-07,0.4046126098730398,-0.07788810799638746
2020-07-07,0.3929288698337656,-0.07840787074592959
2020-07-08,0.491466859627,-0.050921812838897185
2020-07-08,0.45368587942662253,-0.022615996000242555
2020-07-09,0.42247804253013554,-0.030237868316110306
2020-07-09,0.4459260806639238,-0.03780030346361685
2020-07-13,0.3952090964526731,-0.2518973738757939
2020-07-13,0.4591573444966113,-0.41835614662057674
2020-08-19,0.4049118248805914,-0.12976353758025916
2020-08-19,0.2921454777679007,0.3020192616577151
2020-08-20,0.3144664684856773,0.32602103276167527
2020-08-20,0.33444111020821854,0.35046525892992775
2020-08-21,0.24571888683820542,0.3065110734327221
2020-08-21,0.1996224788319858,0.26398748410224315
2020-08-24,0.252851511918861,0.29023793867585623
2020-08-24,0.26495545696110523,0.3170335619113338
2020-08-25,0.19213659055529742,0.2556034630135804
2020-08-25,0.16725783046211462,0.19703863434106839
2020-08-26,0.1691447141641058,0.21829604989008522
2020-08-26,0.36286889890257723,0.2399309617895622
2020-08-27,0.31993551220955085,0.20976468375003665
2020-08-27,0.23452398663820362,0.1803323210322516
2020-08-28,0.2673190756798036,0.20479397825394918
2020-08-28,0.33736237358224974,0.2297625881900387
2020-09-01,0.3709153611390581,0.2794057302012638
2020-09-02,0.27823337439040663,0.19702316753364313
2020-09-03,0.103350042319855,0.12185635226725222
2020-09-04,0.1249997164496155,0.09848222681461083
2020-09-08,0.10257344804186785,0.009106264128268204
2020-09-10,0.13788159294473035,0.062400761997210896
2020-09-11,0.1545941562527995,0.024642828985881327
2020-09-14,0.16375399202522867,0.04727010277879318
2020-09-15,0.12028801701063796,0.04948229861353015
2020-09-16,0.11745527372132036,0.10260725055890951
2020-09-17,0.1594118516297538,0.11074745674648345
2020-09-18,0.1449764140133003,0.05868256528925886
2020-09-21,0.05485956849351603,-0.0014816356318073653
2020-09-22,0.07971992852648646,0.00027094146989958823
2020-09-23,0.003689068771308479,-0.033803284726461436
2020-09-24,0.0762849805225636,0.014541209100872754
2020-09-25,0.10586067393900467,0.023829259830391303
2020-09-28,0.10503062160062648,0.08351704973424967
2020-09-29,0.11061785300198079,0.07132388828357938
2020-09-30,0.16099624134551815,0.0688962757249112
2020-10-01,0.12516641193232192,0.05692335805862059
2020-10-02,0.08795808799231919,0.001420865321750675
2020-10-02,0.051603288314248985,-0.05116701049751737
2020-10-05,0.02241825851813828,-0.031957613177654776
2020-10-05,0.014188540831212126,-0.012359316073030313
2020-10-06,-0.048242855267727536,-0.033629009600130266
2020-10-06,-0.20154427166858202,-0.05444064194151843
2020-10-07,-0.18419619722678793,-0.048263257722924946
2020-10-07,-0.12945242683211655,-0.042045516359685786
2020-10-08,-0.12400402165580549,-0.01948483969811754
2020-10-08,-0.0972942746236447,0.0036071608834491453
2020-10-09,-0.0656732555437195,0.06457061664754815
2020-10-09,-0.021793673294590366,0.1292372573664351
2020-10-12,0.003893861368780005,0.1490291403058408
2020-10-12,0.025614924162382424,0.16916791104737294
2020-10-13,0.0764755156614263,0.14313294115610176
2020-10-13,0.03754964090011481,0.11767771661264148
2020-10-14,-0.0006503800662889248,0.11068284663592909
2020-10-14,-0.04693780617602916,0.1037317533269122
2020-10-15,0.10464432724553041,0.11431298715545823
2020-10-15,0.058520989053578054,0.12499566094801429
2020-10-16,-0.04571485817608423,0.09999067489946212
2020-10-16,-0.14788440584597506,0.0755414681743265
2020-10-19,-0.15447491400953828,0.11306872974282323
2020-10-19,-0.20893742945312566,0.1519053739827485
2020-10-20,-0.2511959683989342,0.15420441816762898
2020-10-20,-0.3256225243305406,0.15650805092747677
2020-10-21,-0.32003494538526234,0.25123697466537864
2020-10-21,-0.3092501048022068,0.35372509124706975
2020-10-22,-0.31937327635510204,0.3782456733331847
2020-10-22,-0.29640806569076317,0.40321040685723175
2020-10-23,-0.29752835184260895,0.3771623421885728
2020-10-23,-0.290771562722859,0.3515978127543071
2020-10-26,-0.32671742735598497,0.3501574696362184
2020-10-26,-0.3470405246345053,0.3487186614335298
2020-10-27,-0.33723468497633025,0.4053444991424435
2020-10-27,-0.3297942571931888,0.4643477678070673
2020-10-28,-0.36514992568138505,0.40170572897717993
2020-10-28,-0.4127297798061911,0.3417433985574343
2020-10-29,-0.4327560776613609,0.36786277161934855
2020-10-29,-0.4707076828840364,0.3944906037874385
2020-10-30,-0.49125958979158546,0.3932308601397796
2020-10-30,-0.5088003714533695,0.3919722545091524
2020-11-02,-0.5155191130090202,0.3908086625295548
2020-11-02,-0.5550222222951147,0.3896460432319131
2020-11-03,-0.5420829737409866,0.4003854255913293
2020-11-03,-0.574127290268079,0.41120780342576135
2020-11-04,-0.5685647774224996,0.45613008874660643
2020-11-04,-0.5821335412738063,0.502482363126149
2020-11-05,-0.5414267413890956,0.6036725596919452
2020-11-05,-0.5161517321977327,0.711677781932798
2020-11-06,-0.5165857103736212,0.7374787920742858
2020-11-06,-0.4557282557037938,0.7636687142711542
2020-11-09,-0.4609305140682658,0.7517297338771034
2020-11-09,-0.4754260468313256,0.739871573226407
2020-11-10,-0.4768448552405007,0.7508508358403105
2020-11-10,-0.43617059018306714,0.761899381848115
2020-11-11,-0.4212358679847126,0.8072042004264792
2020-11-11,-0.43563901323915655,0.8536739700840963
2020-11-12,-0.41534081043363114,0.8925878304346289
2020-11-12,-0.4173001408346504,0.9323186027944033
2020-11-13,-0.4158175698880071,0.9480884706508395
2020-11-13,-0.3707453858231976,0.9639870381595226
2020-11-16,-0.3414448377181938,0.9996803532823859
2020-11-16,-0.295790027235289,1.03602235534651
2020-11-17,-0.2576905241945854,1.1199178295188323
2020-11-17,-0.25238880517178985,1.207270265039401
2020-11-18,-0.24569918029290005,1.2239481549039462
2020-11-18,-0.2828073365112139,1.2407520610587208
2020-11-19,-0.28228047242465426,1.255839760259839
2020-11-19,-0.3068164134333087,1.2710290497578662
2020-11-20,-0.2762132157636926,1.3635769240702693
2020-11-20,-0.23570224091987257,1.4598962644679068
2020-11-23,-0.23594695767407192,1.53778744271066
2020-11-23,-0.19706168518760037,1.6181449996116024
2020-11-24,-0.16520087785661575,1.7180222048165175
2020-11-24,-0.1875747618860485,1.8217095336475202
2020-11-25,-0.2036927362145351,1.7332616147463833
2020-11-25,-0.20306728684131337,1.6475861407991497
2020-11-27,-0.2050315620151476,1.398417109153426
2020-11-27,-0.22464648935206355,1.1726978173951186
2020-11-30,-0.16520544504778845,1.4512785453790613
2020-11-30,-0.14702736632906022,1.765578562710433
2020-12-01,-0.16379302666354068,1.6939598449825892
2020-12-02,-0.15346512967332104,1.7289564778157591
2020-12-02,-0.11672762047385477,1.764407744117925
2020-12-03,-0.08477850646224694,1.8175743124617685
2020-12-03,-0.08521648402065152,1.8717634086853998
2020-12-04,-0.136574253661215,1.7392586490438116
2020-12-04,-0.2033377208453847,1.6128677326507912
2020-12-07,-0.20982601841218318,1.6727205534592078
2020-12-07,-0.21857063857544357,1.7339444196190437
2020-12-08,-0.25298333551888363,1.6604114482030905
2020-12-08,-0.30852940830069453,1.5888562411653955
2020-12-09,-0.3006015553975867,1.5800941847146444
2020-12-09,-0.27206435330838186,1.5713617836893374
2020-12-10,-0.294812117474223,1.535202791547151
2020-12-10,-0.2869643061831916,1.4995522742220952
2020-12-11,-0.3071148998680492,1.4664824457386576
2020-12-11,-0.31801908311427174,1.4338501410338593
2020-12-14,-0.31185395063796606,1.5805968618321966
2020-12-14,-0.316405996218143,1.7361915390852065
2020-12-15,-0.3097746857611944,1.7655443561485238
2020-12-15,-0.2766580690304786,1.7952120590146974
2020-12-16,-0.24146305720628258,2.029906263094107
2020-12-16,-0.2411105027952889,2.2843060810108735
2020-12-17,-0.26061371838766156,2.4840851615194777
2020-12-17,-0.26264556215196855,2.69601648363541
2020-12-18,-0.24711624727297943,2.7045939033695854
2020-12-18,-0.24359140395585677,2.713191228894122
2020-12-21,-0.27126813011427897,2.693325280403949
